Area,Team Member,Metric,Purpose,Source,Threshold,Goal,Week,Start Date,End Date,Value
Ops,Kristie,Event Participation,Our facility is welcoming community members beyond the gallery.,SalesForce,750,2000,Week 15,8/16,8/22,970
Ops,Kristie,Event Participation,Our facility is welcoming community members beyond the gallery.,SalesForce,750,2000,Week 16,8/23,8/29,862
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 1,5/10,5/16,1
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 2,5/17,5/23,3
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 3,5/24,5/30,2
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 4,5/31,6/6,4
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 5,6/7,6/13,3
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 6,6/14,6/20,2
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 7,6/21,6/27,2
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 8,6/28,7/4,4
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 9,7/5,7/11,3
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 10,7/12,7/18,3
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 11,7/19,7/25,2
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 12,7/26,8/1,0
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 13,8/2,8/8,0
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 14,8/9,8/15,0
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 15,8/16,8/22,0
Ops,Kristie,Birthday Parties,Our facility is welcoming community members to event spaces.,Master calendar,3,6,Week 16,8/23,8/29,1
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 1,5/10,5/16,5
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 2,5/17,5/23,5
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 3,5/24,5/30,5
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 4,5/31,6/6,13
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 5,6/7,6/13,12
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 6,6/14,6/20,6
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 7,6/21,6/27,1
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 8,6/28,7/4,12
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 9,7/5,7/11,3
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 10,7/12,7/18,4
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 11,7/19,7/25,4
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 12,7/26,8/1,5
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 13,8/2,8/8,2
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 14,8/9,8/15,6
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 15,8/16,8/22,8
Ops,Beth,Teamwork Overdue - Fac/Eve/Ops,We're completing projects and tasks as scoped and on time.,Teamwork,6,3,Week 16,8/23,8/29,3
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 1,5/10,5/16,
