key,value
board_story,Gateway is becoming statewide STEM infrastructure rather than simply a regional destination.
mission_callout,We now reach approximately one in six North Dakota students annually.
financial_callout,Revenue streams remain diversified and program spending remains mission-aligned.
sustainability_callout,"Growth opportunities remain strongest in rural engagement, outreach, and statewide partnerships."
Revenue Diversification,"Gallery Admission, Membership, Rental Space, Onsite Programs, Offsite Programs, Corporate Membership Program, Grants, EOW, GHD, Power the Mission, Endowment"
Strategic Partnerships,"Society for Science, NDSU, ND OST Network, ND STEM Ecosystem, BSC, CHI St. Alexius, ND Ethanol Council, ND Petroleum Council, Franklin Institute, BVMPL, MMPL"
